code,similar_code,rank,distance
gq,sl,5,0.258
gq,ps,6,0.2594
gr,gb-sct,1,0.1568
gr,sv,2,0.1977
gr,nl,3,0.2574
gr,ar,4,0.2782
gr,tf,5,0.2874
gr,is,6,0.2889
gs,ky,1,0.0338
gs,ms,2,0.0399
gs,pn,3,0.0436
gs,sh,4,0.0442
gs,ck,5,0.0505
gs,nz,6,0.0508
gt,ar,1,0.0818
gt,fm,2,0.1653
gt,so,3,0.174
gt,sm,4,0.1819
gt,bw,5,0.1857
gt,fj,6,0.1866
gu,nr,1,0.1209
gu,nz,2,0.1263
gu,au,3,0.1471
gu,sh,4,0.1488
gu,cw,5,0.1551
gu,ck,6,0.1579
gw,gn,1,0.1012
gw,bj,2,0.1763
gw,bf,3,0.2065
gw,vu,4,0.2364
gw,mu,5,0.2427
gw,ec,6,0.2487
gy,br,1,0.2365
gy,ga,2,0.2699
gy,gn,3,0.2823
gy,gw,4,0.2881
gy,mr,5,0.2882
gy,nc,6,0.2953
hk,tn,1,0.0191
hk,im,2,0.0501
hk,tr,3,0.0515
hk,cn,4,0.0777
hk,kg,5,0.0802
hk,vn,6,0.0822
hm,mp,1,0.1355
hm,bz,2,0.215
hm,mh,3,0.2242
hm,ba,4,0.2498
hm,cv,5,0.2508
hm,kh,6,0.2639
hn,aq,1,0.1036
hn,uz,2,0.2165
hn,kz,3,0.2341
hn,lu,4,0.2476
hn,pw,5,0.2557
hn,tv,6,0.2575
hr,py,1,0.0663
hr,hu,2,0.1867
hr,lu,3,0.1971
hr,eg,4,0.2012
hr,ye,5,0.2054
hr,iq,6,0.2057
ht,kh,1,0.1494
ht,ph,2,0.1634
ht,bz,3,0.2089
ht,tw,4,0.2633
ht,ad,5,0.2633
ht,cu,6,0.2679
hu,lu,1,0.1618
hu,py,2,0.1746
hu,ye,3,0.1749
hu,tj,4,0.1776
hu,at,5,0.1777
hu,hr,6,0.1867
id,mc,1,0.0229
id,sg,2,0.0672
id,mt,3,0.1845
id,lb,4,0.2152
id,at,5,0.2358
id,ki,6,0.2364
ie,it,1,0.15
ie,ng,2,0.2042
ie,ci,3,0.2779
ie,fr,4,0.3066
ie,mf,5,0.3066
ie,mx,6,0.3102
il,uy,1,0.1865
il,yt,2,0.2426
il,bl,3,0.2586
il,vi,4,0.2598
il,kr,5,0.2613
il,cy,6,0.2695
im,tr,1,0.0328
im,cn,2,0.0423
im,ma,3,0.0464
im,tn,4,0.0485
im,hk,5,0.0501
im,vn,6,0.0532
in,ne,1,0.1757
in,tj,2,0.2202
in,sy,3,0.264
in,mg,4,0.2709
in,py,5,0.2912
in,hu,6,0.3016
io,gb,1,0.2653
io,ck,2,0.2834
io,fk,3,0.2908
io,ky,4,0.3026
io,pn,5,0.3054
io,ki,6,0.3071
iq,ye,1,0.0216
iq,eg,2,0.0223
iq,sd,3,0.1136
iq,ae,4,0.1885
iq,hu,5,0.1944
iq,at,6,0.1973
ir,lb,1,0.2047
ir,at,2,0.2132
ir,gq,3,0.2202
ir,pf,4,0.2204
ir,hu,5,0.223
ir,it,6,0.2293
is,tf,1,0.1613
is,se,2,0.1858
is,ax,3,0.1924
is,sv,4,0.1929
is,xk,5,0.1992
is,kp,6,0.28
it,ie,1,0.15
it,fr,2,0.1504
it,mf,3,0.1504
it,mx,4,0.1565
it,ng,5,0.1894
it,pe,6,0.2041
je,gb-nir,1,0.1606
je,gb-eng,2,0.1664
je,yt,3,0.1697
je,bl,4,0.1717
je,kr,5,0.18
je,gg,6,0.1829
jm,lt,1,0.2741
jm,gp,2,0.3333
jm,lk,3,0.3396
jm,mz,4,0.3489
jm,kn,5,0.3639
jm,bd,6,0.3647
jo,eh,1,0.0478
jo,sd,2,0.1534
jo,ps,3,0.1541
jo,kw,4,0.1571
jo,ae,5,0.1695
jo,sy,6,0.1782
jp,yt,1,0.1098
jp,cy,2,0.1171
jp,bl,3,0.1259
jp,kr,4,0.1515
jp,gb-eng,5,0.1884
jp,vi,6,0.193
ke,af,1,0.2118
ke,eh,2,0.2371
ke,sr,3,0.2385
ke,jo,4,0.2436
ke,sy,5,0.2685
ke,mw,6,0.2853
kg,vn,1,0.045
kg,cn,2,0.0533
kg,me,3,0.0722
kg,tn,4,0.0746
kg,im,5,0.0753
kg,tr,6,0.0801
kh,ht,1,0.1494
kh,bz,2,0.2115
kh,ph,3,0.2229
kh,cv,4,0.2504
kh,cu,5,0.2551
kh,mp,6,0.2578
ki,mc,1,0.2317
ki,id,2,0.2364
ki,sg,3,0.2558
ki,sc,4,0.2597
ki,do,5,0.2621
ki,dk,6,0.2664
km,cf,1,0.3011
km,mm,2,0.3288
km,ba,3,0.346
km,py,4,0.3509
km,bq,5,0.3529
km,hr,6,0.3587
kn,mw,1,0.1736
kn,tz,2,0.245
kn,et,3,0.2527
kn,pg,4,0.2569
kn,ml,5,0.259
kn,sn,6,0.273
kp,mn,1,0.179
kp,bm,2,0.2365
kp,dk,3,0.2588
kp,by,4,0.2617
kp,wf,5,0.2618
kp,im,6,0.2626
kr,bl,1,0.1108
kr,yt,2,0.1114
kr,cy,3,0.1504
kr,jp,4,0.1515
kr,je,5,0.18
kr,vi,6,0.1862
kw,jo,1,0.1571
kw,eh,2,0.1583
kw,sd,3,0.1591
kw,ae,4,0.1858
kw,sy,5,0.1994
kw,gq,6,0.238
ky,sh,1,0.03
ky,gs,2,0.0338
ky,fk,3,0.041
ky,ms,4,0.0425
ky,vg,5,0.0455
ky,ck,6,0.0463
kz,pw,1,0.1363
kz,tv,2,0.1578
kz,aq,3,0.2012
kz,hn,4,0.2341
kz,rw,5,0.2892
kz,pm,6,0.3244
la,li,1,0.1521
la,ws,2,0.2246
la,ve,3,0.2361
la,fr,4,0.2451
la,mf,5,0.2451
la,td,6,0.2497
lb,pf,1,0.0804
lb,at,2,0.1216
lb,tj,3,0.1952
lb,mt,4,0.1992
lb,pl,5,0.2002
lb,ir,6,0.2047
lc,fm,1,0.4099
lc,aw,2,0.4222
lc,ar,3,0.4368
lc,so,4,0.4377
lc,gt,5,0.4384
lc,sm,6,0.4442
li,la,1,0.1521
li,ws,2,0.1693
li,ma,3,0.2565
li,bm,4,0.2565
li,td,5,0.2697
li,ro,6,0.2727
lk,es,1,0.2044
lk,lt,2,0.294
lk,jm,3,0.3396
lk,am,4,0.3455
lk,me,5,0.3603
lk,sz,6,0.3607
lr,um,1,0.2525
lr,us,2,0.2525
lr,pf,3,0.2855
lr,gb,4,0.3008
lr,my,5,0.3029
lr,sg,6,0.3038
ls,py,1,0.2402
ls,nc,2,0.2593
ls,ir,3,0.2739
ls,hr,4,0.2821
ls,il,5,0.2986
ls,uz,6,0.3062
lt,am,1,0.2008
lt,gd,2,0.2054
lt,cm,3,0.2542
lt,ve,4,0.2598
lt,jm,5,0.2741
lt,lk,6,0.294
lu,hu,1,0.1618
lu,py,2,0.1731
lu,hr,3,0.1971
lu,tj,4,0.2134
lu,ye,5,0.2269
lu,at,6,0.2439
lv,qa,1,0.1967
lv,bv,2,0.217
lv,no,3,0.217
lv,sj,4,0.217
lv,es,5,0.2604
lv,nl,6,0.2706
ly,ao,1,0.1769
ly,vu,2,0.1781
ly,pg,3,0.1797
ly,mq,4,0.2002
ly,mw,5,0.2646
ly,bf,6,0.2853
ma,im,1,0.0464
ma,cn,2,0.0508
ma,tr,3,0.0599
ma,vn,4,0.0688
ma,al,5,0.0716
ma,hk,6,0.0827
mc,id,1,0.0229
mc,sg,2,0.0493
mc,mt,3,0.1552
mc,pf,4,0.2062
mc,lb,5,0.2107
mc,at,6,0.2188
md,ro,1,0.1765
md,td,2,0.1799
md,ad,3,0.1885
md,ml,4,0.2122
md,bj,5,0.2505
md,ec,6,0.2514
